"","source","confidence","target","weight"
"5791","Pax8","A","E2f1",1
"5793","Sp3","A","Cd2ap",1
"5803","Pgr","A","Cyp19a1",-1
"5804","Nfkb1","A","Il17c",1
"5805","Rela","A","Il17c",1
"5812","Gata2","B","Emcn",0.5
"5815","En1","A","Utrn",-1
"5819","Stat3","A","Cops5",1
"5820","Gata1","A","Cops5",1
"5821","Ctcf","A","Atxn7",1
"5823","Esr1","B","Stk11",0.5
"5832","Creb1","A","Dio2",1
"5834","Stat3","A","Irf1",1
"5835","Mbd2","B","Adgrb1",0.5
"5844","Esr1","A","Ret",1
"5846","Atf4","A","Chac1",1
"5849","Hoxa10","A","Emx2",-1
"5853","Nfic","A","Fabp7",1
"5856","Creb1","A","Aqp2",1
"5864","Smad3","B","Cdh1",0.5
"5866","Tp53","B","Gsn",0.5
"5872","Stat6","A","Slc26a4",1
"5873","Esr1","B","Scarb1",0.5
"5874","Egr1","A","Spry1",1
"5875","Tp53","A","Met",-1
"5879","Ets1","B","Ccnd3",0.5
"5892","E2f1","A","Ect2",1
"5894","Rela","A","Csf1",1
"5896","Gata1","B","Runx1",0.5
"5899","Nfkb1","A","Ctcf",-1
"5907","Srebf2","A","Hmgcr",1
"5910","Stat3","A","Chi3l1",1
"5919","Spi1","A","Hck",1
"5927","Tcf7l2","A","Ccnd1",1
"5933","Rora","A","Nr1d1",1
"5934","Ctcf","A","Cdkn2a",1
"5942","Myc","A","H2az1",1
"5944","Twist1","A","Esr1",-1
"5948","Rela","A","Il12a",1
"5950","Fos","A","Mmp7",1
"5951","Sp1","A","Fas",1
"5952","Pcgf2","A","Hoxa7",1
"5969","Gata3","A","Foxc1",-1
"5970","Esr1","A","Pbx1",1
"5971","Atf4","A","Mcl1",1
"5974","E2f1","A","Mcph1",1
"5981","Hnf4a","A","Soat2",1
"5983","Sp1","A","Cers2",1
"5990","Hic1","A","Epha2",-1
"5992","Hnf4a","B","Scarb1",0.5
"6003","Pparg","A","Mmp9",-1
"6012","Sp1","A","Mmp11",1
"6013","Atf4","A","Fgf21",1
"6014","Mitf","A","Oca2",1
"6015","Pparg","A","Atp2a2",1
"6021","Hmga1","A","Cdc25a",1
"6027","Cebpa","A","Per2",1
"6029","Sox2","A","Ntrk3",1
"6031","Foxo1","A","Ccnd1",-1
"6035","Stat3","A","Pim1",1
"6041","Hnf4a","A","Apoa1",1
"6044","Myc","A","Vhl",1
"6046","Twist1","A","Cdkn2a",1
"6047","Esr1","B","Prss23",0.5
"6051","Stat2","A","Oas1a",1
"6053","Egr1","B","Hes1",0.5
"6057","Cdx2","A","Mep1a",1
"6062","Klf4","A","Rara",-1
"6076","Tp63","B","Znf750",0.5
"6079","E2f1","A","Hmga1",1
"6083","Sp1","A","Stk11",1
"6086","Ctcf","A","Cftr",1
"6089","Egr1","A","Bcar1",1
"6090","Egr1","A","Rbl2",1
"6100","Esr1","B","Foxn1",0.5
"6105","Spi1","B","Syk",0.5
"6111","Nr2f2","A","Bglap",1
"6112","Nr2f2","A","Bglap3",1
"6113","Nr2f2","A","Bglap2",1
"6116","Rela","A","Mcl1",1
"6120","Esr1","A","Fosl1",1
"6127","Rest","A","Lin28a",-1
"6130","Pgr","B","Egfr",0.5
"6132","Myc","A","Srsf1",1
"6141","Myc","A","Id3",1
"6146","Tfap2a","A","Foxa1",1
"6160","Foxa1","A","Ccng2",1
"6161","Tp53","A","Sesn2",1
"6165","Ctcf","A","Rarres1",1
"6166","Usf1","A","Gata5",1
"6169","Cebpa","B","Gpam",0.5
"6174","Cdx2","A","Cftr",1
"6175","Smad4","B","Skil",0.5
"6176","Klf4","A","Vdr",-1
"6183","Sp1","A","Hbz",1
"6186","Runx1","B","Runx2",0.5
"6187","Runx2","B","Runx1",0.5
"6191","Fli1","A","Eya3",1
"6198","Stat4","A","S100a4",1
"6199","Ets1","A","Ltb",1
"6201","Stat3","A","Usp7",-1
"6205","Foxm1","A","Aurkb",1
"6207","E2f1","A","Atad2",1
"6212","Esr1","B","Rab31",0.5
"6214","Gata2","A","Angpt2",1
"6218","E2f1","A","Rbm38",1
"6219","E2f1","A","Foxm1",1
"6220","Hnf4a","A","Slc22a6",1
"6230","Atf4","B","F7",0.5
"6231","Foxo3","A","Stk11",1
"6238","Gata2","A","Il1rl1",1
"6243","Tfap2c","A","Ret",1
"6244","E2f1","A","Cd2ap",1
"6252","Tal1","A","Myb",1
"6255","Esr1","B","Fhl2",0.5
"6261","Myc","A","Apc",1
"6264","Ets1","A","Atxn2",1
"6277","Rela","B","Bhlhe40",0.5
"6280","Atf4","B","Ppargc1a",0.5
"6292","Foxo1","A","Klf2",1
"6300","Tp53","B","Casz1",0.5
"6302","Stat3","A","Pgf",-1
"6309","Spi1","A","Fli1",1
"6310","Pax6","A","Pcsk1",1
"6316","Vdr","B","Cyp19a1",0.5
"6318","Vdr","B","Gadd45a",0.5
"6320","Atf4","A","Hrk",1
"6323","Egr1","B","Src",0.5
"6326","Egr1","A","Slc4a2",1
"6330","Cdx2","A","Reg4",1
"6331","Fos","A","Fasn",1
"6332","Myc","A","Pten",1
"6333","Nr2f2","A","Pou5f1",-1
"6334","Rela","A","Il2ra",1
"6336","Tp53","B","Runx1",0.5
"6338","Fos","A","Vegfd",1
"6339","Jun","A","Vegfd",1
"6343","Sp1","A","Sctr",1
"6354","Hif1a","A","Mcl1",1
"6364","Foxm1","A","Cdc25a",1
"6368","Hif1a","A","Adipoq",1
"6371","Tp53","B","Axl",0.5
"6375","Myc","A","Parp1",1
"6376","Egr1","A","Myc",1
"6377","Spi1","A","Itgax",-1
"6391","Srf","B","Egr3",0.5
"6396","Rela","A","Socs3",1
"6408","Pparg","A","Egfr",-1
"6411","Rela","A","Egfr",1
"6416","Cdx2","A","Axin2",1
"6424","Cebpa","A","Srebf1",1
"6427","Sall4","A","Abca3",1
"6428","Ar","A","Elf3",1
"6439","Sox9","A","Hapln1",1
"6442","Mitf","A","Ppargc1a",1
"6444","Jund","A","Sox4",1
"6450","Tbp","A","Lin28b",1
"6455","Esr1","A","Krt15",1
"6464","E2f1","A","Ctsl",1
"6465","Rxra","A","Abcb11",1
"6470","Spi1","A","Mpo",1
"6477","Foxo1","A","Cdkn1a",1
"6479","Ar","A","Akr1c18",-1
"6487","Jun","A","Mmp3",1
"6488","Fos","A","Mmp3",1
"6489","Myc","A","Atf4",1
"6490","Ctcf","A","Ipo13",1
"6493","Hnf4a","A","C3",1
"6500","Myb","B","Igf1r",0.5
"6502","Gata3","B","Ebf1",0.5
"6507","Hnf4a","A","Ephx1",1
"6511","E2f4","B","Ltbp4",0.5
"6514","Sp1","B","Ltbp4",0.5
"6516","Esr1","B","Abcc3",0.5
"6518","Sp1","A","Abcc1",-1
"6523","Bcl6","A","Litaf",-1
"6524","Tp53","A","Eef1a1",1
"6533","E2f1","A","Nell2",1
"6537","Nfkb1","A","Birc5",1
"6545","Ar","A","Igfbp3",1
"6546","Sox9","A","Matn1",1
"6549","Klf4","A","Ccnd1",1
"6552","Gata3","A","Slco4c1",1
"6562","Egr1","A","Cacna1h",1
"6563","Ets1","A","Thbs1",1
"6568","Zeb1","A","Grhl2",-1
"6575","Stat3","A","Mmp3",1
"6578","Sp1","A","Slc19a3",1
"6581","Kmt2a","A","Hoxa9",1
"6583","Sp1","A","Kit",1
"6584","Tp53","A","Ei24",1
"6587","Ets1","A","Il2",-1
"6589","Tfap2c","A","Ecm1",1
"6592","Spi1","A","Dapk2",1
"6593","E2f2","A","Mcm5",1
"6599","Tp53","B","Per2",0.5
"6612","E2f4","A","Plk4",1
"6614","E2f1","A","Plk1",1
"6623","Esr1","A","Ar",1
"6627","Gata3","A","Tgfbr3",1
"6629","Hnf4a","A","Slc2a2",1
"6639","Tp53","A","Bcl3",-1
"6641","Irf4","B","Ciita",0.5
"6646","Sp1","A","Atp1a3",1
"6652","Irf3","A","Cxcl10",1
"6660","Stat3","A","Ccnd2",1
"6661","Nfkb1","A","Cdk4",1
"6663","Esr1","A","Plac1",1
"6669","Relb","B","Traf3",0.5
"6671","Ctcf","B","Runx1",0.5
"6679","Hif1a","A","Bax",1
"6682","Stat3","A","S100a11",1
"6687","Mycn","A","Mxi1",-1
"6696","Gata2","A","Ar",1
"6699","E2f1","A","Uhrf1",1
"6700","Ar","A","Rela",-1
"6701","Rela","A","Ar",-1
"6708","Sox2","A","Hhat",1
"6712","Ctcf","A","Wt1",1
"6722","Foxm1","A","Cdc6",1
"6723","Tp53","A","Pias3",-1
"6728","Esr1","B","Me3",0.5
"6729","Sox9","A","Rgr",1
"6732","Jun","A","Rhob",1
"6734","Gata2","A","Fcer1a",1
"6735","Gata2","A","Ms4a2",1
"6736","Spi1","A","Fcer1a",1
"6739","Ctcf","A","Ang",1
"6756","Rel","A","Csf2",1
"6757","Myc","A","Bsg",1
"6763","Ctcf","A","Celsr3",1
"6765","Jun","A","Penk",1
"6766","Fos","A","Penk",1
"6774","Nfkb2","B","Il2ra",0.5
"6780","Jun","A","Nts",1
"6781","Tp53","A","Ckm",1
"6783","Creb1","A","Flt1",1
"6784","Cebpd","A","Cftr",1
"6785","Myb","A","Cd34",1
"6787","Nfkb1","A","Sele",1
"6789","Tfap2a","A","Oat",1
"6791","Pou1f1","A","Ghr",1
"6793","Sp1","A","Krt18",1
"6795","Nfkb2","A","Selp",1
"6798","Egr1","A","Myb",-1
"6799","Spi1","A","Csf2",1
"6801","Fos","B","Sptbn1",0.5
"6804","Erf","A","Ets2",-1
"6807","Gata4","A","Il5",1
"6808","Sp3","A","Cdkn2b",1
"6809","Egr1","A","Wt1",1
"6816","Pou2f2","A","H2-Ea",1
"6817","Pou2f2","A","P04224",1
"6818","Fos","A","Cdh1",1
"6820","Rara","A","Icam1",1
"6823","Hnf1a","A","Igfbp1",1
"6826","Myb","A","Erbb2",1
"6827","Tfdp1","A","Pcna",1
"6829","Foxa1","A","Scgb1a1",1
"6831","Nfic","B","Col1a2",0.5
"6834","Wt1","A","Igf1",-1
"6835","Tfap2a","A","Nr3c1",1
"6837","Egr1","A","Ache",1
"6840","Foxa1","A","Ttr",1
"6843","Cebpb","A","Tnfaip6",1
"6844","Hnf1a","A","Proc",-1
"6849","Gata1","A","Wt1",1
"6850","Nr2f1","A","Epo",-1
"6855","Rela","A","F3",1
"6856","Fos","A","Tnfaip6",1
"6859","Rel","A","Ifng",1
"6862","Myb","A","Lck",1
"6865","Sp1","A","Ldha",1
"6866","Rara","A","Hnf4a",1
"6867","Hnf4a","B","Rara",0.5
"6868","Tfap2a","A","Hmox1",1
"6871","Jun","A","Npy",1
"6872","Sp1","A","Spn",1
"6874","Fos","A","Nqo1",1
"6875","Pax8","A","Ncam1",1
"6880","Atf2","A","Tgfb2",-1
"6881","Ahr","A","Cyp1a2",1
"6883","Sp1","A","Npy",1
"6884","Nfkb1","A","Csf2",1
"6887","Nr2f2","A","Oxt",1
"6889","Max","B","Ccnd1",0.5
"6890","Usf1","B","Ccnd1",0.5
"6891","Jun","A","Igf1",1
"6892","Cebpd","B","Tf",0.5
"6894","Ets1","A","Etv4",1
"6895","Etv4","A","Ets1",1
"6902","Sp1","A","Cdk1",1
"6903","Tfap2a","A","Myc",1
"6904","Cebpa","A","Insr",1
"6907","Cebpa","A","Apob",1
"6913","Egr1","B","Nr4a1",0.5
"6915","Pax8","A","Wt1",1
"6919","Foxa1","A","Apob",1
"6923","Pax8","A","Tp53",-1
"6924","Cebpb","A","Top1",1
"6928","Sp1","A","Cck",1
"6930","Cebpa","A","Slc9a1",1
"6933","Tfap2a","A","Ache",-1
"6934","Rela","A","Agt",1
"6935","Nfkb1","A","Agt",1
"6936","Tp53","A","Krt8",1
"6939","Jun","A","Itgax",1
"6940","Spi1","A","Csf1",1
"6943","Wt1","A","Ccn3",1
"6944","Irf1","A","Eif2ak2",1
"6947","Pax5","A","Xbp1",-1
"6950","Stat3","B","Fcgr1",0.5
"6953","Spi1","A","Fes",1
"6954","Yy1","A","Hcfc1",1
"6956","Sp1","A","Mpo",1
"6957","Stat3","A","Lbp",1
"6959","Cebpa","A","Comt",1
"6960","Gata1","A","Epo",1
"6962","Stat5b","A","Fcgr1",1
"6968","Tfap2a","A","Hoxa4",-1
"6969","Egr1","A","Vamp2",1
"6970","Sp1","A","Vamp2",1
"6973","Fos","A","Plaur",1
"6974","Srebf1","A","Fdps",1
"6976","E2f4","A","Mybl2",1
"6977","Tfdp1","A","Mybl2",1
"6978","Fos","A","Meltf",1
"6983","Fos","A","Cdk4",1
"6985","Esr1","B","Mpped2",0.5
"6990","Ets1","A","Dntt",1
"6991","Etv4","A","Vim",1
"6992","Erg","A","Vim",1
"6994","Egr1","A","Ifng",1
"6996","Sp1","A","Hspb1",1
"6997","Ets1","A","Met",1
"7005","Nfic","A","Proc",1
"7009","Erg","A","Mmp3",1
"7010","Ets2","A","Mmp3",1
"7012","Fosl1","A","Nqo1",1
"7014","Foxm1","A","Cyp7a1",1
"7016","Cebpa","A","Sod1",1
"7018","Sp3","A","Myc",1
"7020","Tp53","A","Hgf",1
"7021","Pbx1","A","Cyp17a1",1
"7023","Gata2","A","Pecam1",1
"7024","Myc","A","Hbp1",1
"7028","Egr1","A","Nfkb1",1
"7030","Nfkb1","B","Nfkb2",0.5
"7032","Tp53","A","Fancc",1
"7036","Jun","A","Sele",1
"7039","Jun","A","Tnc",1
"7040","Rela","A","Tnc",1
"7042","Sp1","A","Il2",1
"7047","Stat2","A","Irf1",1
"7048","Jun","A","Icam1",1
"7052","Thrb","A","Por",1
"7053","Tfap2a","A","Hsd17b1",-1
"7054","Egr1","A","Cd19",1
"7057","Hif1a","A","Tf",1
"7059","Mef2a","B","Mef2d",0.5
"7061","Tp53","A","Tyms",-1
"7063","Myc","A","Dnph1",1
"7067","Spi1","A","Myb",1
"7070","Spi1","A","Itga2b",1
"7071","Sp3","A","Chrnb4",1
"7073","Sp3","A","Igfbp1",1
"7075","Stat5a","A","Irf1",1
"7076","Creb1","A","Dbh",1
"7077","Tp53","B","Camk4",0.5
"7081","Cebpa","A","Itgax",1
"7094","Sp1","A","Mip",1
"7095","Tfap2a","A","Mip",1
"7099","Ets2","A","Chrne",1
"7101","Cebpb","A","Adm",1
"7103","Irf1","A","Il15",1
"7104","Spi1","A","Rnase2b",1
"7106","Sp3","A","F2r",1
"7107","Usf1","A","Apex1",1
"7109","Nfkb2","B","Il6",0.5
"7110","Vdr","A","Hoxa10",1
"7111","Hif1a","A","Aqp1",1
"7118","Hlf","A","Dbp",1
"7120","Nfkb1","A","Wt1",1
"7121","Rela","A","Wt1",1
"7122","Ets2","A","Icam1",1
"7123","Spi1","A","Icam1",1
"7126","Hoxc11","A","Lct",1
"7127","E2f4","A","Ccnd1",1
"7132","Thrb","A","Cga",-1
"7133","Usf1","A","Sf1",1
"7136","Sp1","A","Lcat",1
"7137","Sp3","A","Lcat",1
"7139","Sp1","A","Tcn2",1
"7140","Sp3","A","Tcn2",1
"7148","Usf1","A","Gck",1
"7153","Egr1","A","Bcl2",1
"7154","Usf1","A","Trim25",1
"7155","Sp1","A","F7",1
"7157","Cebpa","A","S100a9",1
"7163","Creb1","A","Il5ra",1
"7165","Jun","A","Il5ra",1
"7168","Epas1","B","Ldha",0.5
"7169","Hif1a","A","Aldoa",1
"7171","Srebf1","A","Fdft1",1
"7172","Yy1","A","Ctcf",1
"7175","Creb1","A","Cd4",1
"7177","Tp53","A","Wrn",-1
"7178","Ets1","A","Tnf",1
"7179","Sp1","A","Tpmt",1
"7180","Ets1","A","Anpep",1
"7181","Myb","A","Anpep",1
"7182","Hnf4a","A","Afp",1
"7183","Myc","A","Rcc1",1
"7186","Esr1","A","Myb",1
"7188","Gata3","B","Aldh1a2",0.5
"7189","Tal1","A","Aldh1a2",1
"7190","Nfatc1","A","Egr3",1
"7191","Nfatc2","A","Egr3",1
"7192","Pax1","A","Pdgfra",1
"7193","Hnf4a","B","Gata4",0.5
"7194","Rela","A","Ccr5",1
"7196","E2f4","A","Cdc25a",1
"7197","Ets1","A","Foxd1",1
"7198","Spi1","A","Cxcr1",1
"7199","Egr1","A","Sod1",1
"7202","Tfap2a","B","Rad51b",0.5
"7203","Usf1","A","Apoa2",1
"7204","Usf2","A","Apoa2",1
"7210","Tp53","A","Sesn1",1
"7214","Spi1","A","Tfec",1
"7218","Ahr","A","Fos",1
"7219","Ar","A","Crisp4",1
"7223","Ar","A","Prkcd",1
"7224","Ar","A","Sord",1
"7225","Arnt","A","Ugt1a6",1
"7226","Ascl1","A","Pcsk6",-1
"7227","Atf1","A","Bcl2",1
"7228","Atf1","A","Ugt8",1
"7230","Atf3","A","Ccl5",1
"7231","Cebpa","A","Alox5ap",1
"7232","Cebpa","A","F9",1
"7233","Cebpa","A","Gapdh",1
"7234","Cebpa","A","Igf2",1
"7235","Cebpa","A","Star",1
"7236","Cebpa","A","Thoc1",1
"7237","Cebpa","A","Smyd2",1
"7239","Cebpb","A","Faslg",1
"7240","Cebpb","A","Bcl2l1",1
"7241","Cebpb","A","Gfer",-1
"7242","Cebpb","A","S100a9",1
"7244","Cebpd","A","Alox5ap",1
"7245","Cebpd","A","Gapdh",1
"7248","Creb1","A","Pcsk1",1
"7249","Creb1","A","Ugt8",1
"7250","Creb1","A","Uxt",1
"7255","E2f1","A","Bmp4",1
"7257","E2f1","A","Dcc",1
"7259","E2f1","A","Eya2",1
"7262","E2f1","A","Meis1",1
"7263","E2f1","A","Map3k5",1
"7268","E2f1","A","Safb",1
"7269","E2f1","A","H4c11",1
"7271","E2f1","A","Smarca5",1
"7272","E2f1","A","H2bc21",1
"7273","E2f1","A","Dgki",1
"7276","E2f1","A","Cbx5",1
"7278","E2f1","A","Cdca4",1
"7282","E2f2","A","Map3k5",1
"7284","E2f3","A","Map3k5",1
"7285","E2f4","A","Cdc6",1
"7286","E2f4","A","Cdc25c",1
"7287","E2f4","A","Cyp27b1",1
"7288","E2f4","A","Ddx11",1
"7289","E2f4","A","Dhps",1
"7290","E2f4","A","Epas1",1
"7293","E2f4","A","Map3k5",1
"7294","E2f4","A","Mfap1b",1
"7295","E2f4","A","Mfap1a",1
"7296","E2f4","A","Mthfd1",1
"7297","E2f4","A","Nasp",1
"7298","E2f4","A","Pcna",1
"7299","E2f4","A","Rbbp5",1
"7300","E2f4","A","Recql",1
"7301","E2f4","A","Rpa3",1
"7302","E2f4","A","Rrm1",1
"7303","E2f4","A","Ttk",-1
"7304","E2f4","A","Tyms",1
"7305","E2f4","B","H2ac7",0.5
"7306","E2f4","B","H2ac8",0.5
"7307","E2f4","B","H2ac6",0.5
"7308","E2f4","B","Hist1h2ap",0.5
"7309","E2f4","B","H2ac11",0.5
"7310","E2f4","B","Hist1h2ao",0.5
"7311","E2f4","B","H2ac4",0.5
"7312","E2f4","B","H2ac13",0.5
"7313","E2f4","B","Hist1h2an",0.5
"7314","E2f4","A","H3c11",1
"7315","E2f4","A","H3c6",1
"7317","E2f4","A","Uxt",1
"7318","E2f4","A","Smarca5",1
"7319","E2f4","A","Ybx3",1
"7320","E2f4","A","H2bc21",1
"7322","E2f4","A","Pgrmc1",1
"7323","E2f4","A","Ube2c",1
"7324","E2f4","B","Oip5",0.5
"7325","E2f4","A","Cbx5",1
"7328","E2f4","A","Drosha",1
"7330","E2f4","A","Nusap1",1
"7332","E2f4","A","Cdca4",1
"7334","E2f4","A","Prr11",1
"7336","E2f4","A","Cenpo",1
"7337","E2f4","A","Bora",1
"7338","E2f4","A","Wdr76",1
"7361","Elk1","A","Ptprz1",1
"7363","Erg","A","Nos3",1
"7368","Esr1","A","Bcl9",1
"7369","Esr1","A","Capn2",1
"7370","Esr1","A","Cd86",1
"7371","Esr1","A","Cldn4",1
"7373","Esr1","A","Edn3",1
"7374","Esr1","A","Fbln2",1
"7375","Esr1","A","Gsn",1
"7378","Esr1","A","Lgals8",1
"7379","Esr1","A","Mb",1
"7380","Esr1","A","Notch2",1
"7382","Esr1","A","Por",1
"7386","Esr1","A","Sparc",1
"7389","Esr1","A","Trh",1
"7390","Esr1","A","Tyms",1
"7392","Esr1","A","Spata2",1
"7393","Esr1","A","Trim16",1
"7394","Esr1","A","Cct6b",1
"7395","Esr1","A","Nek6",1
"7396","Esr1","A","Sec61b",1
"7399","Esr1","A","Nid2",1
"7401","Esr1","A","Pofut1",1
"7404","Esr1","A","Arid5b",1
"7407","Esr2","B","Bcl9",0.5
"7408","Esr2","B","Capn2",0.5
"7416","Esr2","B","Nipsnap2",0.5
"7425","Esr2","B","Pbx1",0.5
"7447","Ets1","A","Egr1",1
"7448","Ets1","A","Jak3",1
"7450","Ets1","A","Myb",1
"7451","Ets1","A","Vwf",1
"7452","Ets2","A","Jak3",1
"7454","Etv4","A","Agtr1a",1
"7456","Foxo1","A","Pck2",1
"7462","Fos","A","Nat2",1
"7464","Fos","A","Cd40lg",1
"7466","Fos","A","Csta",1
"7467","Fos","A","Il1a",1
"7468","Fos","A","Maf",1
"7469","Fos","A","Loxl4",1
"7471","Fosl2","A","Clu",1
"7472","Fosl2","A","Plaur",1
"7473","Nr5a2","A","Cyp11b2",1
"7474","Gabpa","A","Tomm70",1
"7475","Gata1","A","Cybb",1
"7476","Gata1","A","Nfe2",1
"7480","Gata2","A","Cybb",-1
"7482","Gata2","A","Myc",1
"7484","Gata2","A","Wt1",1
"7485","Gata3","A","Apba1",1
"7486","Gata3","A","Rhoh",1
"7488","Gata3","A","Atp2b1",1
"7489","Gata3","A","Cd8a",1
"7490","Gata3","A","Cd8b",1
"7491","Gata3","A","Cd40lg",1
"7492","Gata3","A","Septin7",1
"7494","Gata3","A","Abcc2",1
"7496","Gata3","A","Edn1",1
"7497","Gata3","A","Egfr",1
"7498","Gata3","A","Epha7",1
"7499","Gata3","A","Epo",-1
"7500","Gata3","A","Grm7",1
"7502","Gata3","A","Itpk1",1
"7504","Gata3","A","Nrcam",1
"7505","Gata3","A","Pde3a",1
"7509","Gata3","A","Rbms1",1
"7512","Gata3","A","Sst",1
"7513","Gata3","A","Svil",1
"7514","Gata3","A","Tlr5",1
"7519","Gata3","A","Slit2",1
"7521","Gata3","B","Vgll4",0.5
"7522","Gata3","A","Arnt2",1
"7523","Gata3","A","Ust",1
"7525","Gata3","A","Blcap",1
"7526","Gata3","A","Znf507",1
"7529","Gata3","A","Atxn10",1
"7530","Gata3","A","Myrip",1
"7531","Gata3","A","Pde7b",1
"7534","Gata3","A","Gcnt4",1
"7535","Gata3","A","Tet2",1
"7537","Gata3","A","Galnt10",1
"7538","Gata3","A","Slc24a3",1
"7539","Gata3","A","Fndc3b",1
"7541","Gata3","A","Zxdc",1
"7542","Gata3","A","Spef2",1
"7543","Gata3","A","Fbxo11",1
"7545","Gata3","A","Neto1",1
"7548","Gata3","A","Bpifb1",1
"7550","Gata3","A","St8sia6",1
"7551","Gata6","A","Apoa1",1
"7554","Nr3c1","A","Atp1b1",-1
"7557","Foxa1","A","Cebpa",1
"7559","Hnf4a","A","Cebpa",1
"7560","Cebpa","A","Hnf4a",1
"7561","Hnf4a","A","Akr1c6",1
"7562","Hnf4a","A","Fabp2",1
"7563","Hnf4a","A","Gfer",-1
"7564","Hnf4g","A","Akr1c6",1
"7568","Irf8","A","Cybb",1
"7571","Rbpj","A","Nfkb1",1
"7573","Irf1","A","Cybb",1
"7578","Jun","A","Nat2",1
"7579","Jun","A","Csta",1
"7580","Jun","A","Il1a",1
"7581","Jun","A","Mmp12",1
"7582","Jun","A","Ntrk1",1
"7583","Jun","A","Ppara",1
"7584","Junb","A","Ptgs2",1
"7586","Jund","A","Cd40lg",1
"7587","Jund","A","Clu",1
"7588","Jund","A","Csta",1
"7591","Jund","A","Nqo2",1
"7593","Smad3","A","Por",1
"7594","Smad4","A","Bglap",1
"7595","Smad4","A","Bglap3",1
"7596","Smad4","A","Bglap2",1
"7597","Maf","A","Itgb7",1
"7601","Mitf","A","Hoxb4",1
"7602","Mybl2","A","Myb",1
"7603","Myc","A","Acadm",1
"7604","Myc","A","Aco2",1
"7605","Myc","A","Acox1",1
"7606","Myc","A","Acp5",1
"7607","Myc","A","Acp3",1
"7608","Myc","A","Actg1",1
"7609","Myc","A","Acyp2",1
"7610","Myc","A","Adcy9",1
"7611","Myc","A","Ahsg",1
"7613","Myc","A","Aldh9a1",-1
"7614","Myc","A","Amd1",1
"7615","Myc","A","Amd2",1
"7616","Myc","A","Ampd2",1
"7617","Myc","A","Ampd3",1
"7618","Myc","A","Apex1",1
"7619","Myc","A","App",1
"7620","Myc","A","Arf1",1
"7621","Myc","A","Arf4",1
"7622","Myc","A","Rhog",1
"7623","Myc","A","Arsb",1
"7624","Myc","A","Ascl2",1
"7625","Myc","A","Atp1a2",1
"7626","Myc","A","Atp6v1g2",1
"7627","Myc","A","Avp",1
"7628","Myc","A","Bcl3",1
"7629","Myc","A","Blk",1
"7630","Myc","A","Bmp4",1
"7632","Myc","A","Brca2",1
"7633","Myc","A","Zfp36l1",-1
"7634","Myc","A","Casp8",1
"7635","Myc","A","Casp9",1
"7636","Myc","A","Cbs",1
"7637","Myc","A","Cckbr",1
"7638","Myc","A","Ccnb1",1
"7639","Myc","A","Tnfrsf8",1
"7640","Myc","A","Cd63",1
"7641","Myc","A","Cd79b",1
"7642","Myc","A","Cdc25c",1
"7643","Myc","A","Chrnb1",1
"7644","Myc","A","Clcn6",1
"7646","Myc","A","Col4a1",1
"7647","Myc","A","Crat",1
"7648","Myc","A","Cst10",1
"7649","Myc","A","Cstb",1
"7650","Myc","A","Dck",1
"7651","Myc","A","Ace",1
"7652","Myc","A","Ddx11",1
"7653","Myc","A","Dkc1",1
"7655","Myc","A","Egr3",1
"7656","Myc","A","Eif4a1",1
"7657","Myc","A","Eif4b",1
"7658","Myc","A","Eif4ebp2",1
"7659","Myc","A","Elk1",1
"7660","Myc","A","Epb42",1
"7661","Myc","A","Ephx1",1
"7662","Myc","A","Esd",1
"7663","Myc","A","Fah",1
"7664","Myc","A","Fasn",1
"7665","Myc","A","Fech",1
"7666","Myc","A","Fgf9",1
"7667","Myc","A","Fgfr4",1
"7668","Myc","A","Fpgs",1
"7669","Myc","A","Fxn",1
"7670","Myc","A","Fut1",1
"7671","Myc","A","Galt",1
"7672","Myc","A","Gapdh",1
"7673","Myc","A","Gas8",1
"7674","Myc","A","Gpr4",1
"7675","Myc","A","Cxcl1",1
"7676","Myc","A","Gsk3b",1
"7677","Myc","A","Gstp1",1
"7678","Myc","A","Gstp2",1
"7679","Myc","A","Gtf2h2",-1
"7689","Myc","A","Hint1",1
"7690","Myc","A","Mnx1",1
"7691","Myc","A","Hmbs",1
"7692","Myc","A","Hnrnpa1",1
"7693","Myc","A","Hnrnpa2b1",1
"7694","Myc","A","Hoxd3",1
"7695","Myc","A","Hoxd13",1
"7696","Myc","A","Hsd11b2",1
"7697","Myc","A","Hspa8",1
"7698","Myc","A","Hspe1",1
"7699","Myc","A","Icam1",1
"7700","Myc","A","Il11ra2",1
"7701","Myc","A","Il11ra1",1
"7702","Myc","A","Il13",1
"7703","Myc","A","Impa2",1
"7704","Myc","A","Insm1",1
"7705","Myc","A","Insr",1
"7706","Myc","A","Itga6",1
"7707","Myc","A","Irf2",1
"7709","Myc","A","Irf3",1
"7710","Myc","A","Isg20",1
"7711","Myc","A","Lair1",1
"7712","Myc","A","Lamb2",1
"7713","Myc","A","Stmn1",1
"7714","Myc","A","Lbr",1
"7715","Myc","A","Lmna",1
"7716","Myc","A","Lmx1b",1
"7717","Myc","A","Lta4h",1
"7718","Myc","A","Ltb",1
"7719","Myc","B","Smad7",0.5
"7720","Myc","A","Man2a2",1
"7721","Myc","A","Mbd1",1
"7722","Myc","A","Mcm7",1
"7723","Myc","A","Meis2",1
"7724","Myc","A","Men1",1
"7725","Myc","A","Met",1
