,gene_name,p-value,logFC,-logQ
139,App,1.9497830494734717e-06,1.457906,5.710013709487857
140,Uba52,2.0010283074504223e-06,3.1231222,5.698746767594394
141,Selm,2.2969384192985085e-06,3.059747,5.638850648042828
142,Serpinh1,2.397727436051542e-06,1.5048512,5.620200187269951
143,Lars2,2.4814023428972102e-06,1.4106815,5.605302812054577
144,Fbn1,2.7969008775087576e-06,3.1542892,5.553322924802512
145,Col6a2,2.835921747437578e-06,2.5912683,5.547305756960384
146,Mylk,3.187673171836711e-06,2.627793,5.496526212666153
147,Rpl9,3.191055168379209e-06,1.3065205,5.49606568746567
148,Hspa5,3.204617602641632e-06,1.303436,5.494223786104833
149,Mmp2,3.2250649666893904e-06,2.8533745,5.491461532380488
150,Fat1,3.4584051987480565e-06,2.207085,5.461124124633236
151,Hmgn1,3.480402839344834e-06,1.907924,5.458370485714536
152,Ndufa13,3.506236333156711e-06,1.8092734,5.455158814218642
153,Foxc1,3.532253631238165e-06,2.6204553,5.451948119734212
154,mt-Rnr2,3.826907515852299e-06,0.6345423,5.417152033161009
155,Itgav,4.179966901788937e-06,2.4733272,5.378827157083179
156,Kctd12,5.737164582488041e-06,1.7665362,5.241302691299165
157,Ltbp2,5.760956186219965e-06,4.8107142,5.239505427699226
158,Rpl29,5.948569828151443e-06,1.4569886,5.225587436019554
159,Nudt4,6.387378280917987e-06,1.707169,5.1946773627757175
160,Emp3,6.956307378959316e-06,1.6050649,5.15762123603728
161,Elob,7.777403181131e-06,2.2962852,5.109165386604636
162,Bmpr2,8.369750706509926e-06,2.1582189,5.077287477299388
163,Ptgis,9.45394943260904e-06,2.0577393,5.024386724986098
164,Col6a1,1.0270639083029037e-05,2.6930327,4.988402531904413
165,Timp2,1.0965452797091596e-05,1.6885962,4.959973430268431
166,Alpl,1.1346547443268581e-05,2.048018,4.945136266615214
167,H2afj,1.3342679960004186e-05,1.5110458,4.874756930918251
168,Calu,1.3395972168273727e-05,1.6125696,4.8730257634297
169,Lman1,1.4476664318756285e-05,1.6932853,4.839331495793855
170,Mprip,1.4577613862196258e-05,2.4356139,4.836313557725103
171,Rps5,1.4825579252860292e-05,1.0666555,4.828988329234776
172,Igsf3,1.7382070364363496e-05,2.6704736,4.759898496341433
173,Slit2,1.7553989408498974e-05,1.879499,4.755624168018384
174,Rpl10a,1.8492543673366846e-05,1.4213923,4.733003346962686
175,Fgfr1,1.9288944108507392e-05,1.8748003,4.714691545316182
176,Tgfbr3,2.348771052426377e-05,3.0091386,4.629159314220154
177,Arhgap5,2.3901387999761714e-05,2.1981544,4.621576878000224
178,Bicc1,2.4606296229502213e-05,1.9050895,4.608953751926702
179,Srpr,2.6354206176083797e-05,1.9044275,4.579150060782303
180,Col6a3,2.7232453354654262e-05,2.0318863,4.56491323157987
181,Amotl1,2.7549014326001563e-05,2.4188895,4.559893935122046
182,Lhfp,2.8492423423532863e-05,3.0214155,4.545270610265366
183,Srpx2,2.938177695655325e-05,2.8941984,4.5319219424093085
184,Emp1,2.9836287809027702e-05,2.4400623,4.525255212176036
185,Spcs2,3.044298117403927e-05,1.4158529,4.516512820888334
186,Hook3,3.082440911462293e-05,1.6482927,4.51110523981636
187,Ecm1,3.124025479814489e-05,2.947544,4.505285432637981
188,Prdx1,3.17220338703629e-05,1.3131728,4.498638975504548
189,Edf1,3.252001291572776e-05,2.2260478,4.487849290592478
190,Ar,3.270685130434919e-05,3.1745214,4.485361263486364
191,Gas6,3.590671388165612e-05,2.1281545,4.444824338910864
192,Naca,3.726102882813086e-05,1.3068186,4.428745157807693
193,Rps16,3.740264261950028e-05,1.0393244,4.4270977123844855
194,Ndufb11,4.0078602903171985e-05,1.5076194,4.397087425913723
195,Hsbp1,4.011649136449656e-05,1.8277122,4.396677057896685
196,Rpl15,4.496054066005596e-05,1.819159,4.347168474924158
197,Ddx17,4.521462817376988e-05,1.4055258,4.3447210362646524
198,Eif1,4.6855748976353313e-05,1.1859151,4.329237115650675
199,Manf,4.703174694989466e-05,1.5673093,4.327608889495281
200,Rps4x,4.7341252672649865e-05,1.043982,4.324760254610954
201,Rpl26,4.9748107018529454e-05,1.1326913,4.30322344008505
202,Calm2,4.9841164772319615e-05,1.1688176,4.302411816905062
203,Rbx1,5.0780861931196025e-05,1.6095055,4.294299931883224
204,St3gal6,5.111370484457115e-05,3.1979103,4.291462639192674
205,Plod2,5.135271455207848e-05,1.4665349,4.289436594251149
206,RP24-202L5.2,5.42542094084806e-05,1.7693706,4.265566560669216
207,Dnajc3,5.672864435787492e-05,1.3246086,4.246197594629004
208,Nedd8,5.6834030784796504e-05,1.5554918,4.245391541817011
209,Timm13,5.773733284613533e-05,1.5339035,4.238543282058341
210,Fermt2,5.805937926326692e-05,3.1568155,4.2361276117006765
211,Islr,5.9640064956521124e-05,2.6503553,4.224461892210268
212,Atp5j,6.047356689527819e-05,1.3651443,4.21843441477009
213,Vdr,6.126144312610299e-05,2.11009,4.212812776802689
214,Uqcrb,6.368379308947336e-05,1.5161314,4.19597107735631
215,Fcer1g,6.55899536607187e-05,1.5087954,4.183162675926769
216,Cnn2,6.829924135773338e-05,1.4009138,4.165584120271322
217,Hdlbp,6.937410020889538e-05,1.5198761,4.158802636688666
218,Mpc2,7.16376428412694e-05,2.1212218,4.144858712575537
219,Gas1,7.885478999042663e-05,1.8768771,4.103171920556676
220,Prkar1a,8.118754297095873e-05,1.4101003,4.090510601719367
221,Insig2,8.589408429445648e-05,2.280261,4.0660367459096625
222,Tmem59,9.143473402223445e-05,1.516888,4.038888794106005
223,Arhgef12,9.343981711686779e-05,2.155167,4.029468020244656
224,Lpp,0.00010271040551875026,1.9162856,3.9883855561061736
225,Tln2,0.00010560926821743403,4.402618,3.9762979666595784
226,Map1b,0.00010985659200963631,3.6721065,3.959173877864875
227,Sept11,0.0001232568837067415,1.6512461,3.9091888166968154
228,Rab2a,0.0001232568837067415,1.4779859,3.9091888166968154
229,S100a13,0.00012851132595325496,1.7094493,3.8910585954280728
230,S100a16,0.00014064955666745574,2.473059,3.851861632408706
231,Ccdc3,0.00014429299519176517,5.721044,3.840754751535776
232,Ebf1,0.00014789498393518908,2.0613933,3.830046555456863
233,Enah,0.00014880861870025718,2.6700656,3.82737191458607
234,Prdx5,0.0001498592788673679,1.2323114,3.8243163615862854
235,Mrps14,0.0001554907840807627,1.8473986,3.808295346453733
236,mt-Nd5,0.00016132103569316375,1.0770499,3.792308998452281
237,Pros1,0.00016402556183946383,2.5300853,3.785088465972059
238,Epb41l2,0.00016735654025814046,1.6111884,3.77635731083821
