,gene_name,p-value,logFC,-logQ
241,Gpx4,0.04611919470366358,1.1692269,1.3361182846125639
242,Nfkb2,0.04736969975424489,2.670249,1.32449936797392
243,Jak2,0.04763656564639574,1.6088703,1.3220595564794253
244,Dpm2,0.04871670095561426,2.563474,1.312322129350624
245,Rasa3,0.04885315262546418,0.7776217,1.3111074048487166
246,Snx6,0.04885315262546418,1.3045155,1.3111074048487166
247,RP23-17C12.7,0.048921498685863346,1.3222985,1.3105002470357747
248,Lage3,0.04898992498972324,1.7103536,1.3098932255074216
249,Notch3,0.04905843160693364,0.985511,1.3092863402580905
250,Arglu1,0.0491270186074092,0.9960117,1.3086795912822125
251,Hspd1,0.04995635799063676,0.9770862,1.3014092308708454
252,Lgals1,0.05002599634707606,0.99092865,1.3008042529420631
253,Tspan4,0.05051574699042173,1.4281415,1.296573220593799
254,Hsp90b1,0.05051574699042173,0.3763509,1.296573220593799
255,Imp3,0.05129346831946663,0.9977649,1.2899379341750388
256,Dapk1,0.05143594367751724,0.8854151,1.2887332879052205
257,Ctsd,0.05179358187198742,0.9891105,1.2857240535805197
258,Rnase4,0.052081188323705,1.3881588,1.2833191151360994
259,Sumo2,0.052660409575679704,0.7959453,1.2785157674144192
260,Aldoa,0.053983364525638296,0.8422861,1.2677400514322748
261,Rnf7,0.05428109150793491,1.0718147,1.265351427941059
262,Rsrp1,0.055485733544038934,0.51775116,1.2558186680407029
263,Pdxdc1,0.055943180696051836,1.6859403,1.2522528450886599
264,Psmb8,0.05640376460399454,1.060644,1.248691908566678
265,Mrpl42,0.05749074646048677,1.9336911,1.2404020524330692
266,Chrac1,0.05772592310295738,1.7241764,1.238629113494109
267,Clta,0.0580407354295117,0.83371586,1.2362670932888289
268,Tnfrsf1a,0.05827777981670263,0.86457396,1.2344970017153838
269,Carkd,0.05851562793324157,1.929337,1.2327281301783088
270,Leprot,0.05891383285714847,1.2210532,1.2297827217121422
271,Cbr3,0.059394645777153116,2.074691,1.2262527034067434
272,Cdc42,0.0602845926391032,0.64512455,1.2197936693991671
273,Bin1,0.06036604219054964,1.6639491,1.2192072970825973
274,Mtfr1l,0.061020927894224426,1.6713163,1.2145211926903743
275,Arpc3,0.0613505712206773,0.99699515,1.212181389304814
276,H2-Q10,0.06251595541564971,1.7874155,1.2040091272217088
277,Aebp1,0.06268392385400699,1.6898825,1.2028438256239085
278,Acap2,0.06293657608902019,1.0922544,1.2010968875126022
279,Gns,0.06412677532011604,0.9047397,1.1929605984718255
280,Ctnnb1,0.06524854174941895,0.8473526,1.1854291900012908
281,Pdia6,0.06524854174941895,0.6422429,1.1854291900012908
282,Tmem14c,0.06700589729108485,1.1448641,1.1738869726981709
283,Hsd17b10,0.06736200297062139,2.343062,1.1715850078184502
