,CD45+_hematopoietic_cells,Perivascular_myofibroblasts,Sinusoidal_endothelial_cells,Megakaryocytes,Erythroid_lineage,Myofibroblasts,Activated_MSCs_CAR_cells,Vascular_endothelial_cells,Pericytes,Spp1+_Sinusoidal_pericytes,Spp1+_Immune,Spp1+_Osteolineage_cells,sample
Spp1+_Immune,0.02020559097368893,0.007339120256352221,0.009399282106026564,0.0034545115048702536,0.008966939955149454,0.0012493552502896587,0.004287370987332666,0.0012201714948394933,0.0010606512388042003,0.0012206997076078222,0.005468586790507911,0.0017773039122342793,run46_EV_1
Spp1+_Osteolineage_cells,0.006058600452731164,0.0035774530266987786,0.003531366462662092,0.0011905915798130814,0.003086083098960926,0.0005872405451895267,0.0015162347514877774,0.00032907655466883303,0.0003652591292993548,0.0005723185344842385,0.0017773039122342793,0.0009481419191501691,run46_EV_1
CD45+_hematopoietic_cells,0.04253656471221536,0.02096295360746087,0.017265997478493823,0.03621731616662897,0.012740257111053485,0.028155488141841586,0.023800646180995144,0.00492903139359909,0.0016922837373173664,0.0005571969701027114,0.0007926083079606815,0.004821672138174722,run46_Thpo_2
Perivascular_myofibroblasts,0.02096295360746087,0.03223572411602434,0.011618754576157832,0.019967652972819168,0.011007561499812206,0.01849534615886112,0.014518038740672526,0.0035282974165906224,0.0013681610328457,0.0011004201958486,0.00055539547692779,0.0067633409577068804,run46_Thpo_2
Sinusoidal_endothelial_cells,0.017265997478493823,0.011618754576157832,0.007538129089937258,0.015099142012096492,0.005913474380186535,0.012306292011916341,0.009737849634525723,0.0021470390414731967,0.0007481552466443781,0.00038717496559391483,0.00036424244436721287,0.0026501912163282666,run46_Thpo_2
Megakaryocytes,0.03621731616662897,0.019967652972819168,0.015099142012096492,0.03494254064485081,0.010996022205691763,0.02614653111777588,0.019673668762273888,0.004629204502486499,0.0014892505876032535,0.0006651891825885393,0.0008226981128823413,0.0047577921639721035,run46_Thpo_2
Erythroid_lineage,0.012740257111053485,0.011007561499812206,0.005913474380186535,0.010996022205691763,0.005285094085172065,0.008540197496236097,0.0076001101929555,0.0016357071138238892,0.0006693764369951132,0.0003282125808687852,0.0002572727009806647,0.002205904048188871,run46_Thpo_2
Myofibroblasts,0.028155488141841586,0.01849534615886112,0.012306292011916341,0.02614653111777588,0.008540197496236097,0.023756728698730842,0.016443445432625665,0.0037863004526422013,0.0011357684132808413,0.0007154849244721553,0.000643279130461117,0.004785252762638473,run46_Thpo_2
Activated_MSCs_CAR_cells,0.023800646180995144,0.014518038740672526,0.009737849634525723,0.019673668762273888,0.0076001101929555,0.016443445432625665,0.01502717966310909,0.0029175425412875456,0.0011435586540372582,0.0003715944840810812,0.0004387853106051761,0.002996029216908445,run46_Thpo_2
Vascular_endothelial_cells,0.00492903139359909,0.0035282974165906224,0.0021470390414731967,0.004629204502486499,0.0016357071138238892,0.0037863004526422013,0.0029175425412875456,0.0006612940622103308,0.00022172972752951308,0.0001221607128615609,0.00010838172452364868,0.0008422710927828386,run46_Thpo_2
Pericytes,0.0016922837373173664,0.0013681610328457,0.0007481552466443781,0.0014892505876032535,0.0006693764369951132,0.0011357684132808413,0.0011435586540372582,0.00022172972752951308,0.00010857648054255911,3.2524255158040125e-05,3.870775875844596e-05,0.00021661738203311456,run46_Thpo_2
Spp1+_Sinusoidal_pericytes,0.0005571969701027114,0.0011004201958486,0.00038717496559391483,0.0006651891825885393,0.0003282125808687852,0.0007154849244721553,0.0003715944840810812,0.0001221607128615609,3.2524255158040125e-05,4.820211468032893e-05,2.0498070990321697e-05,0.00027436254164005404,run46_Thpo_2
